indicativo,nombre,provincia,indsinop,latitud,longitud,altitud
1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,,430918N,044811W,1910
1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,,430521N,044626W,1722
1174I,"CILLORIGO DE LIÉBANA, TAMA",CANTABRIA,,431058N,043606W,250
1176A,TRESVISO,CANTABRIA,,431521N,044006W,940
1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,,431415N,044412W,1236
1178Y,"POSADA DE VALDEÓN, SOTO ",LEON,,430843N,045554W,953
1179B,CABRALES,ASTURIAS,,431840N,045110W,458
1183X,LLANES,ASTURIAS,08016,432513N,044453W,10
1186P,"AMIEVA, PANIZALES",ASTURIAS,,431600N,050709W,370
1199X,"PILOÑA, BARGAÉU",ASTURIAS,,432240N,052348W,280
1203D,COLUNGA,ASTURIAS,,432932N,051450W,30
1207U,"GIJÓN, CAMPUS",ASTURIAS,08065,433123N,053716W,26
1208,GIJÓN,ASTURIAS,,433220N,053815W,3
1208A,GIJÓN. LA MERCED,ASTURIAS,,433230N,053943W,22
1208H,"GIJÓN, PUERTO",ASTURIAS,08014,433335N,054203W,5
1210X,CABO PEÑAS,ASTURIAS,08012,433921N,055055W,100
1212E,ASTURIAS AEROPUERTO,ASTURIAS,08011,433401N,060239W,127
1221D,PAJARES-VALGRANDE,ASTURIAS,08031,425843N,054635W,1480
1223P,"LENA, RONZÓN",ASTURIAS,,430758N,054922W,370
1226X,"ALLER, FELECHOSA",ASTURIAS,,430543N,052837W,750
1234P,"MIERES, BAIÑA",ASTURIAS,,431630N,054909W,170
1249I,OVIEDO,ASTURIAS,08015,432112N,055227W,336
1249X,OVIEDO,ASTURIAS,08015,432112N,055226W,334
1272B,"TINEO, SOUTU",ASTURIAS,,431725N,062312W,280
1276F,POLA DE SOMIEDO,ASTURIAS,,430600N,061525W,670
1279X,"SALAS, CAMUÑO",ASTURIAS,,432530N,061351W,240
1283U,CABO BUSTO,ASTURIAS,08010,433409N,062812W,60
1297E,CERVANTES,LUGO,,424607N,070103W,1020
1302F,DEGAÑA,ASTURIAS,,425719N,062821W,1310
1309C,"IBIAS, SAN ANTOLIN",ASTURIAS,,430139N,065306W,780
1327A,"VILLAYÓN, ONETA",ASTURIAS,,432756N,064024W,410
1331A,CASTROPOL,ASTURIAS,08009,433129N,070153W,40
1341B,"TARAMUNDI, OURIA",ASTURIAS,,432456N,070340W,340
1342X,RIBADEO,LUGO,,433226N,070459W,43
1344X,MONDOÑEDO,LUGO,,432553N,072142W,125
1347T,BURELA,LUGO,,433904N,072126W,80
1351,ESTACA DE BARES,A CORUÑA,08004,434710N,074106W,90
1354C,FERROL,A CORUÑA,08005,432835N,081544W,4
1363X,AS PONTES,A CORUÑA,,432645N,075141W,343
1387,A CORUÑA,A CORUÑA,08001,432157N,082517W,57
1387D,A CORUÑA BENS,A CORUÑA,08000,432148N,082631W,132
1387E,A CORUÑA AEROPUERTO,A CORUÑA,08002,431825N,082219W,98
1390X,"CARBALLO, DEPURADORA",A CORUÑA,,431213N,084240W,98
1393,CABO VILÁN,A CORUÑA,08006,430938N,091239W,50
1399,VIMIANZO,A CORUÑA,,430327N,090249W,287
1400,FISTERRA,A CORUÑA,08040,425529N,091729W,230
1406X,MAZARICOS,A CORUÑA,,425607N,085937W,340
1410X,SOBRADO,A CORUÑA,,430216N,080120W,500
1428,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUÑA,08042,425317N,082438W,370
1435C,NOIA,A CORUÑA,,424801N,085234W,128
1437O,MONTE IROITE,A CORUÑA,08043,424314N,085524W,685
1442U,BOIRO,A CORUÑA,,423838N,085332W,10
1446X,MONTERROSO,LUGO,,424835N,074606W,680
1455I,RODEIRO-VILAMAIOR,PONTEVEDRA,,424240N,075714W,645
1465U,LALIN-CRISTIMIL,PONTEVEDRA,,423956N,081133W,463
1466A,SILLEDA,PONTEVEDRA,,424203N,081528W,435
1468X,A ESTRADA,PONTEVEDRA,,424137N,083007W,269
1473A,PADRÓN,A CORUÑA,08039,424418N,083738W,100
1475X,SANTIAGO DE COMPOSTELA,A CORUÑA,08041,425234N,083321W,240
1476R,"ROIS, CASAS DO PORTO",A CORUÑA,,424459N,084253W,210
1477U,VILAGARCIA DE AROUSA,PONTEVEDRA,,423456N,084611W,36
1477V,VILAGARCÍA DE AROUSA,PONTEVEDRA,,423505N,084629W,32
1484,"PONTEVEDRA, INSTITUTO",PONTEVEDRA,,422550N,083850W,19
1484C,PONTEVEDRA,PONTEVEDRA,08044,422618N,083657W,113
1486E,ESCUELA NAVAL DE MARÍN,PONTEVEDRA,08043,422341N,084224W,20
1489A,A LAMA,PONTEVEDRA,,422425N,082704W,395
1495,VIGO AEROPUERTO,PONTEVEDRA,08045,421419N,083726W,255
1496X,VIGO,PONTEVEDRA,,421350N,084327W,120
1505,LUGO AEROPUERTO,LUGO,08008,430640N,072727W,442
1518A,LUGO,LUGO,,425954N,073309W,442
1521I,O PÁRAMO,LUGO,,425043N,072958W,403
1521X,BECERREÁ,LUGO,,425150N,071107W,1080
1541B,VILLABLINO,LEON,,425544N,062002W,958
1542,PUERTO DE LEITARIEGOS,ASTURIAS,08052,425939N,062451W,1530
1549,PONFERRADA,LEON,08053,423350N,063600W,532
1561I,VEGA DE ESPINAREDA  ,LEON,,424558N,064025W,770
1583X,O BARCO DE VALDEORRAS,OURENSE,,422456N,065935W,315
1631E,A POBRA DE TRIVES,OURENSE,08051,422022N,071657W,840
1639X,CHANDREXA DE QUEIXA,OURENSE,,421537N,072301W,990
1658,FOLGOSO DO COUREL,LUGO,,423519N,071130W,612
1679A,MONFORTE DE LEMOS,LUGO,,423154N,073039W,291
1690A,OURENSE,OURENSE,08048,421931N,075135W,146
1690B,"OURENSE,INSTITUTO",OURENSE,,421956N,075152W,148
1696O,BEARIZ,OURENSE,,422805N,081641W,610
1700X,O CARBALLIÑO,OURENSE,08047,422517N,080533W,400
1701X,RIBADAVIA,OURENSE,,421800N,080745W,112
1706A,ALLARIZ,OURENSE,,421058N,074746W,492
1719,A CAÑIZA,PONTEVEDRA,,421305N,081652W,560
1723X,"PONTEAREAS, CANEDO",PONTEVEDRA,,421056N,082934W,90
1730E,O ROSAL,PONTEVEDRA,,415638N,085051W,55
1735X,XINZO DE LIMIA,OURENSE,08050,420445N,074401W,616
1738U,MUIÑOS,OURENSE,,415603N,075920W,730
1740,"SANTILLANA DEL MAR, ALTAMIRA",CANTABRIA,,432238N,040728W,150
2005Y,"VINUESA, QUINTANAREJO",SORIA,,415804N,024658W,1197
2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",SORIA,,415945N,022939W,1260
2030,SORIA,SORIA,08148,414630N,022859W,1081
2044B,LUBIA,SORIA,,413602N,023027W,1100
2048A,MORÓN DE ALMAZÁN,SORIA,,412510N,022513W,978
2059B,LA RIBA DE ESCALOTE,SORIA,,412059N,024700W,1042
2084Y,UCERO,SORIA,,414319N,030249W,960
2092,BURGO DE OSMA,SORIA,,413522N,030513W,932
2096B,LICERAS,SORIA,,412225N,031505W,1150
2106B,CORUÑA DEL CONDE,BURGOS,,414445N,032255W,955
2117D,ARANDA DE DUERO,BURGOS,08144,413957N,034434W,790
2135A,FRESNO DE CANTESPINO,SEGOVIA,,412222N,033026W,993
2140A,ALDEANUEVA DE SERREZUELA,SEGOVIA,,412752N,034709W,1135
2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",SEGOVIA,08143,411131N,032831W,1798
2166Y,PEÑAFIEL,VALLADOLID,,413535N,040729W,756
2172Y,SARDÓN DE DUERO,VALLADOLID,,413643N,042420W,725
2182C,PEDRAZA,SEGOVIA,,410802N,034725W,1107
2192C,CUÉLLAR,SEGOVIA,,412301N,041556W,795
2235U,CERVERA DE PISUERGA,PALENCIA,08058,425214N,043112W,1140
2243A,AGUILAR DE CAMPOO,PALENCIA,,424753N,041638W,910
2276B,VILLAELES DE VALDAVIA,PALENCIA,,423408N,043430W,908
2285B,VILLADIEGO,BURGOS,,423126N,040004W,869
2290Y,PEDROSA DEL PRÍNCIPE,BURGOS,,421504N,041156W,771
2296A,ÓLVEGA,SORIA,,414632N,015836W,1039
2298,PALACIOS DE LA SIERRA,BURGOS,08149,415735N,030754W,1080
2302N,MONTERRUBIO DE LA DEMANDA,BURGOS,,420847N,030635W,1197
2311Y,VILLAMAYOR DE LOS MONTES,BURGOS,,420619N,034604W,884
2331,BURGOS AEROPUERTO,BURGOS,08075,422125N,033713W,891
2362C,"VELILLA DEL RÍO CARRIÓN, CAMPORREDONDO DE ALBA",PALENCIA,,425338N,044249W,1575
2374X,CARRIÓN DE LOS CONDES,PALENCIA,08068,422103N,043702W,830
2400E,AUTILLA DEL PINO,PALENCIA,08072,415944N,043610W,874
2401,"PALENCIA, OBSERVATORIO",PALENCIA,,420018N,043145W,750
2401X,PALENCIA,PALENCIA,,420034N,043338W,736
2422,VALLADOLID,VALLADOLID,08141,413826N,044515W,734
2430Y,MUÑOTELLO,AVILA,,403236N,050239W,1178
2444,ÁVILA,AVILA,08210,403933N,044047W,1130
2444C,"ÁVILA, AYUNTAMIENTO",AVILA,,403924N,044201W,1143
2453E,GOTARRENDURA,AVILA,,404944N,044431W,920
2456B,AREVALO,AVILA,,410417N,044348W,820
2462,PUERTO DE NAVACERRADA,MADRID,08215,404736N,040039W,1892
2465,SEGOVIA,SEGOVIA,08213,405643N,040735W,1008
2465A,"SEGOVIA, INSTITUTO",SEGOVIA,,405648N,040657W,990
2471Y,SAN RAFAEL,SEGOVIA,,404307N,041243W,1237
2482B,MIGUELAÑEZ,SEGOVIA,,410735N,042233W,870
2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,08205,402118N,054124W,1960
2503B,"OLMEDO, DEPÓSITO DE AGUA",VALLADOLID,,411648N,044131W,786
2503X,OLMEDO,VALLADOLID,08142,411933N,044113W,740
2507Y,RUEDA,VALLADOLID,,412510N,045749W,724
2512Y,RIVILLA DE BARAJAS,AVILA,,405256N,050107W,925
2517A,FUENTE EL SOL,VALLADOLID,,411022N,045623W,755
2536D,MORALES DEL TORO,ZAMORA,,413254N,051617W,710
2539,VALLADOLID AEROPUERTO,VALLADOLID,08140,414243N,045120W,846
2555B,FUENTESAUCO,ZAMORA,,411412N,052853W,811
2565,CORESES,ZAMORA,,413319N,053750W,702
2568D,"SANTERVÁS DE LA VEGA, VILLAPÚN",PALENCIA,,423125N,045104W,985
2593D,VILLALÓN DE CAMPOS,VALLADOLID,,420539N,050228W,782
2604B,MEDINA DE RIOSECO,VALLADOLID,,415233N,050225W,731
